,2009 WIC Participants,2011 WIC Participants,2012 WIC Participants,2013 WIC Participants,2014 WIC Participants,2015 WIC Participants,2009 National Lunch School Program Participants,2011 National Lunch School Program Participants,2012 National Lunch School Program Participants,2013 National Lunch School Program Participants,2014 National Lunch School Program Participants,2015 National Lunch School Program Participants,2009 School Breakfast Program Participants,2011 School Breakfast Program Participants,2012 School Breakfast Program Participants,2013 School Breakfast Program Participants,2014 School Breakfast Program Participants,2015 School Breakfast Program Participants,2009 Child and Adult Care Participants,2011 Child and Adult Care Participants,2012 Child and Adult Care Participants,2013 Child and Adult Care Participants,2014 Child and Adult Care Participants,2015 Child and Adult Care Participants,2009 Summer Food Participants,2011 Summer Food Participants,2012 Summer Food Participants,2013 Summer Food Participants,2014 Summer Food Participants,2015 Summer Food Participants,2009 State Population,2010 State Population,2011 State Population,2012 State Population,2013 State Population,2014 State Population,2015 State Population,2016 State Population,%Pop WIC Participants 2009,%Pop WIC Participants 2011,%Pop WIC Participants 2012,%Pop WIC Participants 2013,%Pop WIC Participants 2014,%Pop WIC Participants 2015,%Pop National School Lunch Program Participants 2009,%Pop National School Lunch Program Participants 2011,%Pop National School Lunch Program Participants 2012,%Pop National School Lunch Program Participants 2013,%Pop National School Lunch Program Participants 2014,%Pop National School Lunch Program Participants 2015,%Pop School Breakfast Program Participants 2009,%Pop School Breakfast Program Participants 2011,%Pop School Breakfast Program Participants 2012,%Pop School Breakfast Program Participants 2013,%Pop School Breakfast Program Participants 2014,%Pop School Breakfast Program Participants 2015,%Pop Child and Adult Care Participants 2009,%Pop Child and Adult Care Participants 2011,%Pop Child and Adult Care Participants 2012,%Pop Child and Adult Care Participants 2013,%Pop Child and Adult Care Participants 2014,%Pop Child and Adult Care Participants 2015,%Pop Summer Food Participants 2009,%Pop Summer Food Participants 2011,%Pop Summer Food Participants 2012,%Pop Summer Food Participants 2013,%Pop Summer Food Participants 2014,%Pop Summer Food Participants 2015,Population Low Access to Stores 2010,Population Low Access to Stores 2015,%Chg Population Low Access to Stores 2010 to 2015,%Pop Low Access to Stores 2010,%Pop Low Access to Stores 2015,Low Income & Low Access to Stores 2010,Low Income & Low Access to Stores 2015,%Chg Low Income & Low Access to Stores 2010 to 2015,%Pop Low Income & Low Access to Stores 2010,%Pop Low Income & Low Access to Stores 2015,Households No Car & Low Access to Stores 2010,Households No Car & Low Access to Stores 2015,%Chg Households No Car & Low Access to Stores 2010 to 2015,%Pop Households No Car & Low Access to Stores 2010,%Pop Households No Car & Low Access to Stores 2015,Children Low Access to Stores 2010,Children Low Access to Stores 2015,%Chg Children Low Access to Stores 2010 to 2015,%Pop Children Low Access to Stores 2010,%Pop Children Low Access to Stores 2015,Seniors Low Access to Stores 2010,Seniors Low Access to Stores 2015,%Chg Seniors Low Access to Stores 2010 to 2015,%Pop Seniors Low Access to Stores 2010,%Pop Seniors Low Access to Stores 2015,Grocery Stores 2009,Grocery Stores 2014,%Chg Grocery Stores 2009 to 2014,"Grocery Stores 2009 per 1,000/pop","Grocery Stores 2014 per 1,000/pop",Supercenters & Club Stores 2009,Supercenters & Club Stores 2014,%Chg Supercenters & Club Stores 2009 to 2014,"Supercenters & Club Stores 2009 per 1,000/pop","Supercenters & Club Stores 2014 per 1,000/pop",Convenience Stores 2009,Convenience Stores 2014,%Chg Convenience Stores 2009 to 2014,"Convenience Stores 2009 per 1,000/pop","Convenience Stores 2014 per 1,000/pop",Specialized Food Stores 2009,Specialized Food Stores 2014,%Chg Specialized Food Stores 2009 to 2014,"Specialized Food Stores 2009 per 1,000/pop","Specilaized Food Stores 2014 per 1,000/pop",SNAP Authorized Stores 2012,SNAP Authorized Stores 2016,%Chg SNAP Authorized Stores 2009 to 2014,"SNAP Authorized Stores 2012 per 1,000/pop","SNAP Authorized Stores 2016 per 1,000/pop",WIC Authorized Stores 2008,WIC Authorized Stores 2012,%Chg WIC Authorized Stores 2009 to 2014,"WIC Authorized Stores 2008 per 1,000/pop","WIC Authorized Stores 2012 per 1,000/pop",Fast-food Restaurants 2009,Fast-food Restaurants 2014,%Chg Fast-food Restaurants 2009 to 2014,"Fast-food Restaurants 2009 per 1,000/pop","Fast-food Restaurants 2014 per 1,000/pop",Full-service Restaurants 2009,Full-service Restaurants 2014,%Chg Full-service Restaurants 2009 to 2014,"Full-service Restaurants 2009 per 1,000/pop","Full-service Restaurants 2014 per 1,000/pop",%Chg Household Food Insecurity 2010 to 2012,%Chg Household Food Insecurity 2013 to 2015,%Chg Household Food Insecurity 2010-12 to 2013-15,%Chg Household Very Low Food Insecurity 2010 to 2012,%Chg Household Very Low Food Insecurity 2013 to 2015,%Chg Household Very Low Food Insecurity 2010-12 to 2013-15
GA,499213.0,469456.0,303874.6667,289524.4167,271416.0,264298.9167,1290996.0,1301069.2797,1287032.722,1245367.6136,1236304.4468,1236153.5419,564627.0,600641.6157,620654.8004,608138.0798,626649.7663,626930.2409,140053.0,138076.0,135286.25,138070.0,141104.25,141717.25,68454.0,75836.0,84854.0,71557.0,98044.0,101239.0,9829211.0,9712157.0,9815210.0,9915646.0,9992167.0,10097343.0,10214860.0,10310371.0,0.05078871539129641,0.047829440225935056,0.03064597775071841,0.028975137895513557,0.026879942574992252,0.0258739636862375,0.13134279038266652,0.13255643839510312,0.1297981716975374,0.12463438747570972,0.12243859070648586,0.12101522114840536,0.0574437765147172,0.06119498367329888,0.06259348109038987,0.06086148077789332,0.06206085762363426,0.06137433512549364,0.01424865129052576,0.01406755433658577,0.01364371519515723,0.013817823501148449,0.013974394055941251,0.013873636055707078,0.006964343323182298,0.0077263756964955415,0.00855758666656716,0.007161309453695079,0.009709881104365773,0.00991095325829233,2449438.595487571,2382760.851905106,-0.027221643239108133,0.2522033566269131,0.23326417120793688,778932.6658836338,876198.3940624032,0.12487052146982391,0.0802018198309226,0.08577683825939889,87599.67583957623,95367.84622219503,0.0886780722436105,0.0090195901733854,0.009336187301851913,653108.623530029,637129.2919552039,-0.024466575695260895,0.06724650595434453,0.062372787483646754,241665.50316773946,235690.06495600546,-0.024726070264097486,0.024882783831412472,0.023073254548374177,1747.0,1779.0,0.018317115054378934,0.1777355272971554,0.17618496271741982,176.0,202.0,0.14772727272727273,0.01790581156513987,0.02000526277061203,5457.0,5813.0,0.06523730987722191,0.555181896085047,0.5756960024038006,424.0,431.0,0.01650943396226415,0.04313672786147332,0.042684496307592995,9007.166666666668,9380.499999999998,0.041448476213385294,0.908379208643256,0.9098120717479515,1753.0,1642.0,-0.06332002281802625,0.17834595269142153,0.16559687588685598,6901.0,7702.0,0.11607013476307781,0.7020909409717627,0.7627749200953161,6916.0,6879.0,-0.005349913244650087,0.703617004457428,0.6812683296982186,16.9,14.9,-2.0,6.5,5.6,-0.9
HI,36320.0,36753.0,37169.4167,36370.0833,33922.5,31616.0,103807.0,115693.8751,113618.3627,113609.1334,113980.7024,109591.394,35946.0,35847.2971,38942.7065,38465.54,37596.6679,37814.3354,9460.0,9757.0,10069.0,10122.5,10739.0,11390.75,5836.0,3169.0,5134.0,5324.0,6010.0,5860.0,1295178.0,1363359.0,1374810.0,1390090.0,1404054.0,1419561.0,1431603.0,1428557.0,0.0280424775590691,0.02673314858053113,0.026738856261105396,0.025903621441910354,0.02389647221922834,0.022084334833050782,0.08014882896404973,0.08415262843592933,0.08173453711630183,0.08091507406410295,0.08029292323471833,0.07655152580708478,0.02775371416129675,0.02607436453037147,0.028014521721615147,0.027396054567701812,0.02648471457020868,0.026413981669499157,0.007304015355418329,0.007096980673693092,0.007243415893934925,0.007209480547044487,0.007565014817961327,0.00795664021380229,0.0045059443566830195,0.002305045788145271,0.0036932860462272226,0.0037918769506016152,0.004233703236423091,0.004093313579253466,341839.1615644661,364979.9817525358,0.06769505308333633,0.2507330509164982,0.25494496850910187,78570.71367463784,94434.95013931759,0.20191030121444134,0.057630245353305944,0.06596448187054482,6798.406780961273,7094.270255183816,0.043519530936439205,0.004986512562693519,0.004955473169016701,83371.7373169644,91132.12923195194,0.09308180643380293,0.06115171229072049,0.06365740308727486,46572.25708754061,46655.98540160799,0.0017978152510409954,0.03415993666198016,0.0325900304774494,285.0,298.0,0.0456140350877193,0.22004697423829,0.20992405398570405,15.0,12.0,-0.2,0.011581419696752106,0.008453317610162579,415.0,431.0,0.03855421686746988,0.3204192782768083,0.30361499083167265,131.0,134.0,0.022900763358778626,0.10114439868496838,0.0943953799801488,903.75,909.0000000000009,0.0058091286307064005,0.6501377608644044,0.6363064266949102,132.0,125.0,-0.05303030303030303,0.10191649333141853,0.08992223525095498,1274.0,1249.0,-0.019623233908948195,0.9836485795774789,0.8798494745910884,1129.0,1231.0,0.09034543844109831,0.8716948558422085,0.8671694981758445,14.0,9.7,-4.3,5.6,3.0,-2.6
IA,75645.0,70931.0,69158.9167,65875.9167,63766.6667,63481.25,394391.0,396893.5635,395599.7842,384195.0138,383565.8636,381709.0974,84554.0,88514.3234,93107.5153,94780.7743,93851.732,98260.4579,37532.0,38946.0,38915.75,38978.25,39403.0,44132.75,10346.0,11122.0,11109.0,13607.0,16016.0,16703.0,3007856.0,3050202.0,3062309.0,3075039.0,3090416.0,3107126.0,3123899.0,3134693.0,0.025149142778111717,0.02316258744627012,0.022490419373542906,0.02131619713980254,0.02052271671634816,0.020321159550932985,0.13112030629125862,0.12960598146692576,0.12864870468309508,0.12431821923003247,0.12344715457306848,0.12218996113510713,0.02811105318871648,0.028904438905414182,0.030278482744446493,0.030669260805017837,0.030205318998972042,0.03145442855226753,0.012477990967652708,0.012717854403327684,0.01265536794817887,0.012612622378346474,0.012681494088105857,0.01412745738578616,0.0034396593453941944,0.003631899981353939,0.0036126371080171665,0.004402967108635213,0.005154602677844413,0.005346843800007619,598387.1781874087,566186.2557484424,-0.05381285497544759,0.19617952456506446,0.1812434575344601,178560.30500201014,169972.36021895264,-0.048095486748641114,0.05854048518819742,0.05441032511580965,21494.251323671837,20615.24924786005,-0.0408947519304258,0.007046828807951682,0.006599204791147233,144579.9908396793,134262.6974444469,-0.07136045129974408,0.04740013639741869,0.04297920561594562,91240.08998608413,85318.01150988918,-0.06490653918796198,0.02991280249179698,0.027311386030690873,595.0,606.0,0.018487394957983194,0.19781532094621548,0.19503554088247466,63.0,74.0,0.1746031746031746,0.020945151629599288,0.023816221163866544,1596.0,1607.0,0.006892230576441102,0.5306105079498487,0.5171982082477504,186.0,178.0,-0.043010752688172046,0.0618380667159598,0.0572876671238952,2390.4999999999995,2519.75,0.054068186571847095,0.7773885144220933,0.8038267224254496,673.0,664.0,-0.01337295690936107,0.2237474134400051,0.2159322206970383,1883.0,1918.0,0.01858736059479554,0.6260273098180231,0.6172907053012977,2396.0,2487.0,0.037979966611018365,0.7965806873733317,0.800418135601839,13.5,14.8,1.3,6.3,6.1,-0.2
ID,46175.0,44020.0,43751.25,43291.6667,41423.4167,40506.4167,170003.0,170852.2114,170127.1725,160189.0207,158273.8823,156991.7296,70830.0,74901.9537,77706.2208,75367.9732,76040.2733,77464.7009,9677.0,8878.75,8546.0,10694.25,11342.75,11672.25,22625.0,21744.0,21114.0,20959.0,26932.0,19775.0,1545801.0,1571102.0,1584985.0,1595590.0,1612136.0,1634464.0,1654930.0,1683140.0,0.029871244746251295,0.027773133499686117,0.027420107922461284,0.026853607077814777,0.025343731461812558,0.02447621150139281,0.10997728685645823,0.10779421344681496,0.1066233634580312,0.0993644585196286,0.0968353431461323,0.09486306345283486,0.04582090450193783,0.0472572003520538,0.04870061908134295,0.04675038160552211,0.046523064013646066,0.046808445614013885,0.0062601848491494055,0.005601788029539712,0.0053560125094792525,0.006633590466313016,0.006939736818920453,0.0070530173481657835,0.014636424740312627,0.013718741817745909,0.013232722691919604,0.013000764203516329,0.016477573075944163,0.011949145885324456,332652.1535879947,316789.87600515736,-0.04768427744040251,0.21173173580581953,0.1914219187549669,107604.1265274085,110683.6212855556,0.028618742213038593,0.06848958662608061,0.06688114982842512,6263.032830033896,7802.440070365508,0.24579261870535027,0.003986394791702827,0.004714664711114976,93438.32096589144,88923.27276552538,-0.048321161528728916,0.059473109299008876,0.05373234684580338,41871.08724986928,40072.82914161547,-0.04294749017436664,0.026650775856608466,0.02421421397981514,241.0,253.0,0.04979253112033195,0.1559062259631091,0.1547908060379427,36.0,43.0,0.19444444444444445,0.023288896824364844,0.026308318812772874,622.0,631.0,0.014469453376205787,0.40238038402097037,0.38605928304324844,147.0,124.0,-0.1564625850340136,0.09509632869948978,0.0758658495996241,899.5833333333334,1009.9166666666663,0.12264937471051365,0.5637935392759628,0.6000194081696509,206.0,209.0,0.014563106796116505,0.13326424293942105,0.13098603024586516,997.0,1041.0,0.044132397191574725,0.6449730592747709,0.6369060438161991,1165.0,1226.0,0.05236051502145923,0.7536545777884734,0.7500929968478963,12.6,10.6,-2.0,4.8,4.5,-0.3
IL,309870.0,295409.0,288939.1667,280463.25,265922.75,247593.9167,1148891.0,1162998.3219,1142443.2458,1124196.4521,1124755.9631,1108557.4733,293385.0,357550.881,395044.7081,416090.7348,419947.1413,423306.3646,124146.0,130757.0,127321.0,129334.75,133867.5,141448.5,50389.0,52556.0,55586.0,54067.0,69897.0,70835.0,12910409.0,12841980.0,12869257.0,12868192.0,12882135.0,12880580.0,12859995.0,12801539.0,0.024001563389664884,0.02295462745052026,0.022453750045072378,0.021771488188875525,0.020645246564983875,0.019253033667586964,0.08898951226099808,0.09037027715741476,0.08878040099184097,0.08726786763995255,0.08732184133789007,0.0862020143320429,0.022724686723712625,0.027783335199537938,0.03069931720788748,0.03229982722584416,0.03260312356275882,0.032916526375010254,0.009615961818095771,0.010160415632386547,0.009894241553125722,0.010039853642272806,0.010392971434516148,0.010999110030758177,0.003902974723728737,0.004083841048477002,0.004319643350052595,0.00419705274009316,0.005426541351398772,0.005508166993844088,2430237.0273814225,2295067.0903641316,-0.05562006318492164,0.18924161440692341,0.17846562851417372,554467.1917304032,573011.9882981561,0.03344615667858995,0.04317614509058597,0.0445577147034782,63685.805522880226,62896.3537021148,-0.012396040440782387,0.0049591889664117395,0.004890853666903821,612311.8198554488,575027.0625990385,-0.06089178102949621,0.04768048383936502,0.044714407944873885,302553.11306359066,284480.330167679,-0.0597342486841744,0.023559693525732842,0.02212134065119613,2720.0,2799.0,0.029044117647058824,0.21068271346012354,0.21730387917314284,154.0,207.0,0.34415584415584416,0.011928359512080523,0.01607070489061828,4103.0,4303.0,0.04874482086278333,0.31780557842900253,0.33406880746053363,986.0,865.0,-0.12271805273833672,0.07637248362929479,0.06715536101635175,8548.500000000005,8674.249999999998,0.014710183073052892,0.6643124379866268,0.6775943111214986,2071.0,2369.0,0.14389183969097055,0.16041319837349846,0.1840973463871226,9003.0,9643.0,0.07108741530600911,0.6973442901770192,0.7486464118851791,8791.0,9242.0,0.0513024684336253,0.6809234316279213,0.7175142734255756,14.3,13.8,-0.5,5.3,5.1,-0.2
IN,170137.0,167875.0,164280.5833,159524.5833,155323.0833,154484.5,788167.0,807688.9608,801375.7641,781172.4799,774692.7964,768261.6565,210886.0,240077.1905,256201.8458,259035.9583,260520.676,272047.2252,61253.0,66495.25,71208.5,79035.25,71834.5,81678.0,55113.0,55785.0,54466.0,58664.0,66164.0,64068.0,6423113.0,6490622.0,6516922.0,6537782.0,6570902.0,6596855.0,6619680.0,6633053.0,0.02648824643128651,0.02575986025304584,0.025127877206673456,0.024277425428046256,0.023545020058800745,0.023337155270345394,0.12270794550866534,0.12393718396506817,0.12257609141754804,0.11888359922275511,0.11743365534030989,0.11605721975986755,0.03283236648646848,0.036839046178548704,0.039187884484371,0.03942167426937732,0.039491648065631275,0.04109673355811761,0.009536341646176862,0.010203474891981215,0.010891843747619605,0.012028067075113889,0.010889204022219679,0.012338662896091654,0.008580418871659272,0.008560022661004689,0.008330959949414038,0.008927845826950394,0.01002962775443753,0.009678413458052353,1463527.317093423,1414337.548389117,-0.033610420611756925,0.2254833692508088,0.21365648315162017,409497.17824422393,449234.6769863046,0.09703973764229754,0.06309059104724077,0.06786350352076,49592.577105948025,56448.59732862488,0.1382469035240872,0.007640650943152755,0.008527390648584958,367427.6799004913,358408.75884537975,-0.024546112196974706,0.056609009105828584,0.05414291307818199,180909.17093938528,177696.68952432385,-0.0177574271021218,0.027872393576360677,0.02684369781081923,1041.0,1009.0,-0.03073967339097022,0.16207094597277052,0.15295167166778717,140.0,155.0,0.10714285714285714,0.02179628476098739,0.023496044706151645,2433.0,2468.0,0.014385532264693794,0.3787882915963023,0.3741176666760146,351.0,345.0,-0.017094017094017096,0.05464639965076124,0.05229764789433753,4488.749999999998,4956.499999999999,0.10420495683653602,0.6865860623679404,0.7472426347264223,754.0,763.0,0.011936339522546418,0.11738856221274636,0.1167062468586441,4294.0,4753.0,0.10689333954354914,0.6685231911691418,0.7204948418602501,4303.0,4422.0,0.027655124331861493,0.6699243809037767,0.6703194173587262,13.0,11.1,-1.9,4.5,4.3,-0.2
KS,76989.0,75212.0,74761.0833,70614.75,65698.5,62849.5833,356495.0,362151.744,361686.0841,348151.744,346298.3339,345398.0583,96299.0,102502.4571,107458.588,111453.1943,113861.9202,115826.9208,47310.0,48655.5,49973.25,47873.5,49258.5,49897.5,17632.0,20262.0,20026.0,25237.0,25597.0,28280.0,2818747.0,2859143.0,2871238.0,2885398.0,2893957.0,2904021.0,2911641.0,2907289.0,0.027313199801188258,0.026194972342940572,0.02591014594866982,0.024400759928361063,0.022623286815074684,0.021585622437656292,0.12647286187799048,0.12613086898404102,0.1253505007281491,0.12030301210418815,0.11924787523919421,0.11862659520868128,0.03416376141597667,0.03569974244559315,0.03724220644777601,0.03851238781364063,0.03920836667503437,0.039780632571117115,0.016784053340012425,0.016945826155825468,0.017319361141859807,0.016542574751456224,0.01696217072810424,0.017137243224697,0.006255261646398205,0.007056886262998749,0.006940463672602532,0.008720585689421094,0.008814330199402828,0.009712735876435317,751916.2778283652,679162.5259864215,-0.09675778273089962,0.2629865934751655,0.23325764611310992,236086.9458667838,236076.24704813695,-4.531728176480381e-05,0.08257262608648248,0.08108013558269614,18551.184811521034,19085.729290431802,0.028814573534882478,0.006488372498864532,0.006554973394876567,197006.68277384262,177262.56400971505,-0.10022055336464496,0.06890410265378213,0.06088063879087945,97349.49492181049,86931.5998653428,-0.10701539915369027,0.03404848757890406,0.0298565653751073,483.0,504.0,0.043478260869565216,0.17135273226011416,0.17355246398011584,65.0,73.0,0.12307692307692308,0.023059891504984307,0.02513755926696122,1016.0,1011.0,-0.004921259842519685,0.3604438426009855,0.3481379783410657,191.0,164.0,-0.14136125654450263,0.06776060426849236,0.05647342081892658,1686.4166666666672,1875.6666666666667,0.11222019073973384,0.5844658749561298,0.6451600328232475,390.0,376.0,-0.035897435897435895,0.13835934902990585,0.13031131233888704,1874.0,2001.0,0.06776947705442903,0.6648344104667784,0.6890446040162932,2032.0,2103.0,0.034940944881889764,0.720887685201971,0.72416831696465,14.4,14.6,0.2,5.5,5.5,0.0
KY,141768.0,141648.0,132698.0833,129923.3333,121681.6667,116178.9167,570755.0,553818.6504,549533.7409,532791.3221,529400.5753,525267.0502,238782.0,252110.7515,269770.9457,276997.0035,278707.4194,283064.9646,45763.0,46954.0,47689.0,52231.5,55599.25,56842.25,55312.0,39769.0,33091.0,20189.0,33222.0,33013.0,4314113.0,4347223.0,4369356.0,4379730.0,4395295.0,4413457.0,4425092.0,4436974.0,0.0328614479963784,0.032418507441371223,0.030298233749569036,0.029559638954836934,0.027570602069987314,0.02625457656021615,0.1322995016588578,0.1267506356543161,0.12547205898537123,0.12121855804900467,0.11995145195704864,0.11870195019674168,0.055349036986282,0.05769975060397917,0.061595337086989374,0.06302125420478033,0.0631494584404017,0.06396815356607276,0.010607742541746125,0.010746206077051172,0.010888570756644816,0.0118835027000463,0.012597664370582969,0.012845439145671999,0.012821175523218794,0.00910179898364885,0.007555488580346277,0.004593320812368681,0.007527432577229143,0.007460409862665002,667690.5614069961,694772.2106662175,0.040560179856599106,0.1535901336110423,0.15700740474236863,209144.2150279239,242253.7100116498,0.15830939899200785,0.0481098427727135,0.05474546292182169,52343.768612828506,55184.953467781175,0.05427933315172776,0.012040736951573108,0.012470916642587584,166679.03778120258,172281.5213824264,0.0336124066697465,0.03834149703873083,0.03893286769685837,81286.08412320967,85681.30533803903,0.054071016733532026,0.01869839300243159,0.019362604288914002,866.0,807.0,-0.06812933025404157,0.20073651292861358,0.18284986123122984,88.0,96.0,0.09090909090909091,0.020398167595517314,0.02175165635464444,2172.0,2127.0,-0.020718232044198894,0.5034638638348138,0.4819351361075909,173.0,143.0,-0.17341040462427745,0.040100943113914725,0.03240090477827245,4102.666666666668,4233.500000000003,0.0318898277543065,0.9367396315906844,0.9541412683509082,1196.0,1003.0,-0.16137123745819398,0.2772296414118035,0.2290095508170595,2896.0,3133.0,0.08183701657458564,0.6712851517797517,0.7098743683239691,2510.0,2640.0,0.05179282868525897,0.5818113711903234,0.5981705497527221,15.6,17.6,2.0,6.2,7.3,1.1
LA,148747.0,150051.0,145346.1667,139856.0,130398.5833,128935.0,586936.0,595045.0677,588505.0941,565262.0161,554244.0369,548567.3019,243815.0,260996.6439,267441.5678,265627.7119,264460.7455,267794.4384,59010.0,63074.5,63843.0,64583.0,91941.0,104558.75,26640.0,32134.0,32216.0,40912.0,39824.0,36126.0,4492076.0,4545343.0,4574836.0,4602134.0,4625470.0,4649676.0,4670724.0,4681666.0,0.0331131975505312,0.032799208539934545,0.03158234130079655,0.030236062497432693,0.028044660165568527,0.02760492805826249,0.13066030049358024,0.13006915826053655,0.12787656641462417,0.1222063954798107,0.11920057158821387,0.11744802345417969,0.05427668632498649,0.0570504918427677,0.05811251210851314,0.05742718294573308,0.056877241661569544,0.057334674110480516,0.013136465188923785,0.01378727018848326,0.013872477420257646,0.013962473002743505,0.019773635840432752,0.022385983414990908,0.00593044285092238,0.0070240769286593,0.007000230762511478,0.008844939000793433,0.008564897855248409,0.0077345610659075555,1132617.3173919627,1060387.7831833037,-0.06377223189115583,0.2491819247506652,0.2270285684153685,440418.727412729,431879.2702465636,-0.01938940520611158,0.09689449782177692,0.09246516605274976,58088.51113178117,53521.23994719284,-0.07862606728251127,0.01277978606494189,0.011458874458690524,289868.4369969665,272593.3470385655,-0.05959631251118857,0.06377262111945489,0.058362118386478305,126999.49203263958,119010.49769777659,-0.06290571881035377,0.02794057390886443,0.025480096382868394,1022.0,983.0,-0.03816046966731898,0.2275117339955958,0.21141258014536926,92.0,117.0,0.2717391304347826,0.020480508344026236,0.025163043618523093,2511.0,2616.0,0.04181600955794504,0.5589843092592378,0.5626198470603112,314.0,285.0,-0.09235668789808917,0.06990086543504606,0.06129459342973574,4349.333333333333,4593.499999999998,0.05613887185775563,0.9450688166257942,0.9811678150470362,749.0,707.0,-0.056074766355140186,0.16673805162690924,0.15362438381846336,2927.0,3268.0,0.11650153741031773,0.6515918252496173,0.7028446713276365,2630.0,2793.0,0.06197718631178707,0.5854754015737935,0.6006870156114102,15.7,18.4,2.7,4.8,7.7,2.9
MA,127944.0,119099.0,122567.8333,119952.4167,115110.25,113261.8333,547582.0,542347.3571,534456.4305,514436.4138,515505.8132,515426.3454,134914.0,143362.6993,149885.1732,151474.17,158633.8248,169163.8499,56230.0,59673.25,63770.75,66777.0,69977.75,75134.0,50586.0,53239.0,48764.0,46751.0,49027.0,59617.0,6593587.0,6555466.0,6587536.0,6645303.0,6692824.0,6745408.0,6794422.0,6811779.0,0.019404309065763445,0.01807944578974597,0.018444280614443014,0.017922541620697032,0.017064979612797328,0.016669826116187662,0.08304766434415743,0.08232931965760795,0.08042619433605962,0.07686387895453399,0.07642322202007647,0.07586021966254083,0.020461396808747652,0.021762719672423804,0.022555054780797803,0.022632325308419885,0.023517306114026016,0.024897459989974127,0.008527983326829539,0.009058508370959947,0.009596364529954465,0.0099774026629118,0.01037413155734983,0.011058188614130826,0.007672000081291109,0.008081777465808156,0.007338115357569098,0.006985242701735471,0.007268203791379262,0.00877440347390845,1860819.6618268904,1715211.0045000277,-0.07824974139831958,0.2838577245045418,0.2524439907471199,264980.813958796,268099.1298093224,0.011768081635568287,0.04042135432611442,0.03945871036702201,40893.65374653159,37781.9430672693,-0.07609275264444218,0.006238100197077003,0.005560729531852643,431116.77836723294,398324.2170205628,-0.0760642197013656,0.06576447477070782,0.05862518062913413,272045.97519397084,249819.65405340085,-0.08170060639464506,0.04149910550889454,0.036768345276964085,1322.0,1415.0,0.07034795763993948,0.20049784737806597,0.20977233697353814,38.0,46.0,0.21052631578947367,0.005763175643242441,0.006819454064157423,2588.0,2794.0,0.07959814528593509,0.39250259380819574,0.4142077098968661,635.0,614.0,-0.03307086614173228,0.09630569824891974,0.09102488685636213,4528.0,4724.666666666668,0.04343345111896375,0.6813835275833171,0.6936024593085988,1074.0,1071.0,-0.002793296089385475,0.16288554318006268,0.16116646599861587,4534.0,5080.0,0.12042346713718571,0.6876378517489797,0.7531049270852112,5726.0,6219.0,0.08609849807893817,0.8684195719264794,0.9219605396738048,14.9,15.8,0.9,7.1,7.4,0.3
MD,146411.0,147421.0,146272.0,144627.5,140466.5,142841.0,432643.0,435110.7515,434140.4771,422745.655,423559.6308,434494.4264,154317.0,169116.385,191428.6228,211676.3754,236000.5993,264688.4814,47099.0,45125.5,57084.5,64499.5,73453.0,95690.75,50239.0,54981.0,57720.0,73830.0,65483.0,70273.0,5699478.0,5785681.0,5828289.0,5884868.0,5928814.0,5976407.0,6006401.0,6016447.0,0.025688492876014258,0.025294044272684488,0.024855612734219358,0.02439400190324743,0.023503503024476076,0.023781462476448044,0.07590923238935214,0.07465497189655489,0.07377233900573471,0.07130357859092898,0.07087195212775836,0.07233856454139509,0.027075637453114126,0.02901647207267862,0.032528957794805254,0.035702988051235875,0.03948870940349277,0.0440677339724737,0.00826373924068134,0.007742495267479015,0.009700217574973644,0.010878988613911653,0.012290494941191254,0.015931462118496584,0.008814666887037725,0.009433471813082708,0.009808206403270217,0.01245274349979608,0.010956917760119082,0.011699685052662985,1175439.6725796382,1176322.1601950873,0.0007507723586633758,0.20316358136226975,0.19584475964809664,173287.7057072421,195672.53125045836,0.1291772284240055,0.02995113379172514,0.0325773339559677,26979.42883985218,27050.641023607706,0.0026394993080927644,0.004663137984941129,0.004503635542083805,281606.7039573143,284071.51089075906,0.008752657159107844,0.04867304366716974,0.04729479615010038,142636.77411906092,141414.39424084363,-0.008569878881283157,0.024653411434031866,0.023543948238028668,1095.0,1232.0,0.12511415525114156,0.19212285756695613,0.2061439256061376,42.0,57.0,0.35714285714285715,0.007369095906677769,0.009537503051582664,1777.0,1959.0,0.10241980866629151,0.3117829387182475,0.3277889206675516,461.0,408.0,-0.11496746203904555,0.08088460030901075,0.06826844289553907,3361.75,3677.916666666667,0.09404823876453246,0.57125325495831,0.6113104073993616,669.0,905.0,0.35276532137518685,0.11737917051351018,0.15378424800692214,4525.0,4896.0,0.08198895027624309,0.7939323566123073,0.8192213147464689,3150.0,3460.0,0.09841269841269841,0.5526821930008327,0.5789431676925617,13.0,10.7,-2.3,5.1,3.8,-1.3
