,County,lowaccess_pop_2015,lowaccess_children_2015,lowaccess_seniors_2015,lowaccess_pop_2010,lowaccess_children_2010,lowaccess_seniors_2010,State_y,Adult_diabetes_2008,Adult_diabetes_2013,Adult_obesity_2008,Adult_diabetes_2013,Grocery_2009,Grocery_2014,Conv_2009,Conv_2014,SNAP_2012,SNAP_2016,State_y,White_2010,Black_2010,Hispanic_2010,Asian_2010,AmericanIndian_2010,PacificIslander_2010,65older_2010,18younger_2010,poverty_2015,childpov_2015,FastFood_2009,FastFood_2014,FullServiceRestaurant_2009,FullServiceRestaurant_2014
0,Adams,15.41878121,3.72922892,2.741821363,15.6553845,3.7919028389999996,2.759028517,IL,9.0,10.1,26.5,10.1,0.164083593,0.149280468,0.43258401799999996,0.447841404,0.739120298,0.720958875,IL,93.01223492,3.409683621,1.156431158,0.640805925,0.14902463400000002,0.017882956000000002,17.50592373,23.04069863,13.4,18.9,0.43258401799999996,0.47769749799999994,0.686167753,0.850898668
1,Alexander,21.21933856,4.556304155,3.195802824,46.84214142,9.093091641000001,7.604915138,IL,11.0,11.4,28.2,11.4,0.241109102,0.266951415,0.361663653,0.53390283,0.774393392,1.00339611,IL,60.48798252,35.29983006,1.8815246419999998,0.19422189899999998,0.303471716,0.07283321200000001,16.95799951,22.88176742,28.6,52.2,0.120554551,0.0,0.482218204,0.53390283
2,Bond,7.212030348,1.655418215,1.3819081919999998,11.71199872,2.785814377,1.8837345630000002,IL,8.8,10.0,27.9,10.0,0.169042655,0.0579072,0.563475517,0.636979559,0.972946422,0.891583452,IL,88.90702386,5.971409275,3.078568213,0.377082395,0.427735254,0.016884286000000002,15.03264295,20.5425484,14.8,19.1,0.33808531,0.405350628,0.845213275,0.7527940240000001
3,Boone,21.06437327,6.245173922999999,2.112473695,16.73399871,5.018842631,1.605491425,IL,7.2,9.4,27.0,9.4,0.16619271,0.092817762,0.406248846,0.389834599,0.5345445560000001,0.632363294,IL,75.24600757,1.8019015969999999,20.24739223,1.231422505,0.125542324,0.02769316,11.74928459,28.95596788,10.3,14.5,0.480112272,0.48265236,0.313919563,0.33414394199999997
4,Brown,23.96799448,0.43376686700000006,1.24232685,27.53991941,0.406264184,0.5230179739999999,IL,7.9,8.2,28.1,8.2,0.287232515,0.292740047,0.574465029,0.43911007,0.5785363029999999,0.591540964,IL,74.83061842,18.37970304,5.7950122529999994,0.230647254,0.144154534,0.028830907000000003,12.38287444,16.05881505,16.7,15.8,0.287232515,0.43911007,0.43084877200000005,0.292740047
5,Bureau,35.76844743,8.196068008,7.063552252000001,35.68761914,8.196220253,6.966413267999999,IL,9.0,11.3,26.7,11.3,0.08557248,0.14775413699999998,0.45638655899999997,0.620567376,0.730802475,0.6619902670000001,IL,89.97941563,0.546057522,7.7048430439999995,0.628966779,0.180113214,0.017153639,18.08565384,23.31465493,12.6,19.3,0.37081408,0.354609929,1.1124422390000002,0.8274231679999999
6,Calhoun,11.34807162,2.349908269,2.465091258,15.56685315,3.155753568,3.370428747,IL,9.6,11.4,26.7,11.4,0.590318772,0.605326877,0.196772924,0.0,0.997207818,0.612995505,IL,98.27078011,0.117901356,0.7860090390000001,0.235802712,0.176852034,0.0,20.121831399999998,21.87070151,11.6,15.5,0.196772924,0.201775626,2.164502165,2.4213075059999998
7,Carroll,18.72604886,4.205772372,3.815754863,11.96714225,2.574128646,2.615061027,IL,9.6,12.2,26.7,12.2,0.19384854,0.20387359800000002,0.7753941590000001,0.611620795,0.693935558,0.848293097,IL,94.85929681,0.7928771040000001,2.8400597910000003,0.344446611,0.227464743,0.012997985,21.19971404,20.54331579,10.7,19.3,0.7107779790000001,0.679578661,0.581545619,0.88345226
8,Cass,11.2013936,2.6927893939999996,1.902380767,10.76064393,2.577327899,1.7528473269999998,IL,8.6,10.6,27.6,10.6,0.36702635200000006,0.38005472799999995,0.734052705,0.836120401,1.162093267,1.183338593,IL,79.38718663,2.7781850169999998,16.79372526,0.31520304899999996,0.109954552,0.007330303000000001,15.70151004,24.93036212,12.2,18.1,0.513836893,0.608087565,0.954268516,0.608087565
9,Champaign,15.77293879,3.777235775,1.6026754930000002,14.63565073,3.723767805,1.564395814,IL,7.4,7.4,26.8,7.4,0.15502480400000002,0.168973558,0.335053609,0.32829148399999997,0.628045941,0.683319019,IL,70.85204470000001,12.21050224,5.274988686,8.891441757,0.17903233,0.06415325200000001,9.979063164,19.43445676,20.1,18.3,0.77512402,0.830384342,0.815130421,0.8496956059999999
10,Christian,11.02554784,1.762018223,1.618441702,10.06403888,1.5887111919999999,1.343228724,IL,8.9,10.5,27.1,10.5,0.229832222,0.206538416,0.48839347299999997,0.619615248,0.904594184,0.990723228,IL,95.77873563,1.4137931030000002,1.353448276,0.474137931,0.117816092,0.020114943,17.51724138,22.34482759,12.7,19.2,0.48839347299999997,0.501593296,0.689496667,0.796648177
11,Clark,8.75892972,1.8537511969999998,1.711012776,8.673801026,1.8501640369999999,1.693231514,IL,9.0,11.5,27.4,11.5,0.182581705,0.185414091,0.547745116,0.43263288,0.8174470970000001,0.8104320909999999,IL,97.49005204,0.293847567,1.05295378,0.330578512,0.146923783,0.018365473,18.0348944,22.76094276,13.8,21.5,0.669466253,0.927070457,1.095490232,0.927070457
